ProductKey,EnglishProductName,SafetyStockLevel,ReorderPoint,DaysToManufacture
1,Adjustable Race,1000,750,0
2,Bearing Ball,1000,750,0
3,BB Ball Bearing,800,600,1
4,Headset Ball Bearings,800,600,0
5,Blade,800,600,1
6,LL Crankarm,500,375,0
7,ML Crankarm,500,375,0
8,HL Crankarm,500,375,0
9,Chainring Bolts,1000,750,0
10,Chainring Nut,1000,750,0
11,Chainring,1000,750,0
12,Crown Race,1000,750,0
13,Chain Stays,1000,750,1
14,Decal 1,1000,750,0
15,Decal 2,1000,750,0
16,Down Tube,800,600,1
17,Mountain End Caps,1000,750,1
18,Road End Caps,1000,750,1
19,Touring End Caps,1000,750,1
20,Fork End,800,600,1
21,Freewheel,500,375,0
22,Flat Washer 1,1000,750,0
23,Flat Washer 6,1000,750,0
24,Flat Washer 2,1000,750,0
25,Flat Washer 9,1000,750,0
26,Flat Washer 4,1000,750,0
27,Flat Washer 3,1000,750,0
28,Flat Washer 8,1000,750,0
29,Flat Washer 5,1000,750,0
30,Flat Washer 7,1000,750,0
31,Fork Crown,800,600,1
32,Front Derailleur Cage,800,600,0
33,Front Derailleur Linkage,800,600,0
34,Guide Pulley,800,600,0
35,LL Grip Tape,800,600,0
36,ML Grip Tape,800,600,0
37,HL Grip Tape,800,600,0
38,Thin-Jam Hex Nut 9,1000,750,0
39,Thin-Jam Hex Nut 10,1000,750,0
40,Thin-Jam Hex Nut 1,1000,750,0
41,Thin-Jam Hex Nut 2,1000,750,0
42,Thin-Jam Hex Nut 15,1000,750,0
43,Thin-Jam Hex Nut 16,1000,750,0
44,Thin-Jam Hex Nut 5,1000,750,0
45,Thin-Jam Hex Nut 6,1000,750,0
46,Thin-Jam Hex Nut 3,1000,750,0
47,Thin-Jam Hex Nut 4,1000,750,0
48,Thin-Jam Hex Nut 13,1000,750,0
49,Thin-Jam Hex Nut 14,1000,750,0
50,Thin-Jam Hex Nut 7,1000,750,0
51,Thin-Jam Hex Nut 8,1000,750,0
52,Thin-Jam Hex Nut 12,1000,750,0
53,Thin-Jam Hex Nut 11,1000,750,0
54,Hex Nut 5,1000,750,0
55,Hex Nut 6,1000,750,0
56,Hex Nut 16,1000,750,0
57,Hex Nut 17,1000,750,0
58,Hex Nut 7,1000,750,0
59,Hex Nut 8,1000,750,0
60,Hex Nut 9,1000,750,0
61,Hex Nut 22,1000,750,0
62,Hex Nut 23,1000,750,0
63,Hex Nut 12,1000,750,0
64,Hex Nut 13,1000,750,0
65,Hex Nut 1,1000,750,0
66,Hex Nut 10,1000,750,0
67,Hex Nut 11,1000,750,0
68,Hex Nut 2,1000,750,0
69,Hex Nut 20,1000,750,0
70,Hex Nut 21,1000,750,0
71,Hex Nut 3,1000,750,0
72,Hex Nut 14,1000,750,0
73,Hex Nut 15,1000,750,0
74,Hex Nut 4,1000,750,0
75,Hex Nut 18,1000,750,0
76,Hex Nut 19,1000,750,0
77,Handlebar Tube,800,600,1
78,Head Tube,800,600,1
79,LL Hub,500,375,1
80,HL Hub,500,375,1
81,Keyed Washer,1000,750,0
82,External Lock Washer 3,1000,750,0
83,External Lock Washer 4,1000,750,0
